model,row,status,assertions_passed,assertions_total,pass_rate,error_message,assertion_details
anthropic/claude-haiku-4-5@20251001,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-haiku-4-5@20251001,1,SUCCESS,4,5,0.8,,"FAIL: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-haiku-4-5@20251001,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-haiku-4-5@20251001,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-haiku-4-5@20251001,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
anthropic/claude-opus-4-1@20250805,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-opus-4-1@20250805,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-opus-4-1@20250805,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-opus-4-1@20250805,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-opus-4-1@20250805,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
anthropic/claude-opus-4-5@20251101,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-opus-4-5@20251101,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-opus-4-5@20251101,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-opus-4-5@20251101,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-opus-4-5@20251101,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
anthropic/claude-opus-4-6@default,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-opus-4-6@default,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-opus-4-6@default,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-opus-4-6@default,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-opus-4-6@default,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
anthropic/claude-sonnet-4-5@20250929,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-sonnet-4-5@20250929,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-sonnet-4-5@20250929,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-sonnet-4-5@20250929,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-sonnet-4-5@20250929,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
anthropic/claude-sonnet-4-6@default,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-sonnet-4-6@default,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-sonnet-4-6@default,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-sonnet-4-6@default,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-sonnet-4-6@default,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
anthropic/claude-sonnet-4@20250514,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
anthropic/claude-sonnet-4@20250514,1,SUCCESS,4,5,0.8,,"FAIL: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
anthropic/claude-sonnet-4@20250514,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
anthropic/claude-sonnet-4@20250514,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
anthropic/claude-sonnet-4@20250514,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
deepseek-ai/deepseek-r1-0528,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
deepseek-ai/deepseek-r1-0528,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
deepseek-ai/deepseek-r1-0528,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
deepseek-ai/deepseek-r1-0528,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
deepseek-ai/deepseek-r1-0528,4,SUCCESS,4,5,0.8,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; FAIL: Response does not conflate the two factories' halt causes or production figures.
deepseek-ai/deepseek-v3.1,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
deepseek-ai/deepseek-v3.1,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
deepseek-ai/deepseek-v3.1,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
deepseek-ai/deepseek-v3.1,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
deepseek-ai/deepseek-v3.1,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
deepseek-ai/deepseek-v3.2,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
deepseek-ai/deepseek-v3.2,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
deepseek-ai/deepseek-v3.2,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
deepseek-ai/deepseek-v3.2,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
deepseek-ai/deepseek-v3.2,4,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Factory A as having higher total output (1250 units vs 1235 units).; PASS: Response correctly identifies Factory A as having more total defects (11 vs 8).; PASS: Response correctly attributes the equipment calibration halt to Factory A on Tuesday.; PASS: Response correctly attributes the supply delay halt to Factory B on Wednesday.; PASS: Response does not conflate the two factories' halt causes or production figures.
google/gemini-2.0-flash,0,SUCCESS,5,5,1.0,,PASS: Response correctly identifies 2 errors on Server A.; PASS: Response correctly identifies 2 errors on Server B.; PASS: Response identifies 'Timeout on database connection' as appearing on both servers.; PASS: Response does not confuse errors between the two servers.; PASS: Response addresses both streams without omitting either.
google/gemini-2.0-flash,1,SUCCESS,5,5,1.0,,"PASS: Response correctly identifies GOOG and MSFT as appearing in both portfolios.; PASS: Response correctly identifies Portfolio A realized profit on AAPL (bought at $178, sold at $185).; PASS: Response correctly identifies Portfolio B realized profit on TSLA (bought at $245, sold at $261).; PASS: Response correctly identifies Portfolio B realized profit on NVDA sold position.; PASS: Response does not conflate trades between the two portfolios."
google/gemini-2.0-flash,2,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Team A as experiencing a blocker on Tuesday.; PASS: Response correctly identifies the blocker as missing API credentials.; PASS: Response correctly identifies Friday as the day Team B began depending on Team A's API.; PASS: Response does not attribute Team B's progress as blocked.; PASS: Response addresses both team streams without omitting either.
google/gemini-2.0-flash,3,SUCCESS,5,5,1.0,,PASS: Response correctly identifies Student B as scoring higher on the midterm (85 vs 74).; PASS: Response correctly calculates Student A's average assignment score as approximately 88.3 (265/3).; PASS: Response correctly calculates Student B's average assignment score as approximately 87.7 (263/3).; PASS: Response correctly identifies Student A as having the higher average assignment score.; PASS: Response does not conflate exam scores with assignment scores or mix up the two students.
